 layer     x     y   occupancy           %    capacity
     0     5    32          29      19.863         146
     0     5    33          21      14.384         146
     0     5    34          12       8.219         146
     0     5    35           0       0.000           0
     0     6     0           0       0.000           0
     0     6     1           3       2.055         146
     0     6     2           7       4.795         146
     0     6     3          11       7.534         146
     0     6     4          16      10.959         146
     0     6     5          38      26.027         146
     0     6     6          57      39.041         146
     0     6     7          71      48.630         146
     0     6     8          89      60.959         146
     0     6     9          90      61.644         146
     0     6    10          90      61.644         146
     0     6    11          95      65.068         146
     0     6    12          81      55.479         146
     0     6    13          69      47.260         146
     0     6    14          58      39.726         146
     0     6    15          40      27.397         146
     0     6    16          31      21.233         146
     0     6    17          23      15.753         146
     0     6    18          22      15.068         146
     0     6    19          36      24.658         146
     0     6    20          54      36.986         146
     0     6    21          80      54.795         146
     0     6    22          90      61.644         146
     0     6    23          97      66.438         146
     0     6    24          92      63.014         146
     0     6    25          90      61.644         146
     0     6    26          93      63.699         146
     0     6    27          80      54.795         146
     0     6    28          74      50.685         146
     0     6    29          61      41.781         146
     0     6    30          47      32.192         146
     0     6    31          35      23.973         146
     0     6    32          31      21.233         146
     0     6    33          18      12.329         146
     0     6    34           9       6.164         146
     0     6    35           0       0.000           0
     0     7     0           0       0.000           0
     0     7     1           6       4.110         146
     0     7     2           8       5.479         146
     0     7     3          11       7.534         146
     0     7     4          16      10.959         146
     0     7     5          28      19.178         146
     0     7     6          40      27.397         146
     0     7     7          50      34.247         146
     0     7     8          67      45.890         146
     0     7     9          65      44.521         146
     0     7    10          64      43.836         146
     0     7    11          62      42.466         146
     0     7    12          56      38.356         146
     0     7    13          44      30.137         146
     0     7    14          34      23.288         146
     0     7    15          25      17.123         146
     0     7    16          10       6.849         146
     0     7    17          18      12.329         146
     0     7    18          27      18.493         146
     0     7    19          40      27.397         146
     0     7    20          59      40.411         146
     0     7    21          71      48.630         146
     0     7    22          74      50.685         146
     0     7    23          81      55.479         146
     0     7    24          83      56.849         146
     0     7    25          79      54.110         146
     0     7    26          81      55.479         146
     0     7    27          75      51.370         146
     0     7    28          63      43.151         146
     0     7    29          55      37.671         146
     0     7    30          44      30.137         146
     0     7    31          34      23.288         146
     0     7    32          28      19.178         146
     0     7    33          21      14.384         146
     0     7    34          16      10.959         146
     0     7    35           0       0.000           0
     0     8     0           0       0.000           0
     0     8     1          10       6.849         146
     0     8     2          16      10.959         146
     0     8     3          22      15.068         146
     0     8     4          25      17.123         146
     0     8     5          31      21.233         146
     0     8     6          42      28.767         146
     0     8     7          43      29.452         146
     0     8     8          56      38.356         146
     0     8     9          57      39.041         146
     0     8    10          51      34.932         146
     0     8    11          53      36.301         146
     0     8    12          46      31.507         146
     0     8    13          34      23.288         146
     0     8    14          25      17.123         146
     0     8    15          20      13.699         146
     0     8    16          13       8.904         146
     0     8    17          17      11.644         146
     0     8    18          26      17.808         146
     0     8    19          40      27.397         146
     0     8    20          56      38.356         146
     0     8    21          69      47.260         146
     0     8    22          69      47.260         146
     0     8    23          69      47.260         146
     0     8    24          67      45.890         146
     0     8    25          63      43.151         146
     0     8    26          61      41.781         146
     0     8    27          59      40.411         146
     0     8    28          49      33.562         146
     0     8    29          45      30.822         146
     0     8    30          43      29.452         146
     0     8    31          32      21.918         146
     0     8    32          28      19.178         146
     0     8    33          21      14.384         146
     0     8    34          14       9.589         146
     0     8    35           0       0.000           0
     0     9     0           0       0.000           0
     0     9     1          16      10.959         146
     0     9     2          23      15.753         146
     0     9     3          30      20.548         146
     0     9     4          36      24.658         146
     0     9     5          34      23.288         146
     0     9     6          38      26.027         146
     0     9     7          41      28.082         146
     0     9     8          50      34.247         146
     0     9     9          54      36.986         146
     0     9    10          52      35.616         146
     0     9    11          51      34.932         146
     0     9    12          39      26.712         146
     0     9    13          27      18.493         146
     0     9    14          20      13.699         146
     0     9    15          13       8.904         146
     0     9    16           8       5.479         146
     0     9    17          17      11.644         146
     0     9    18          24      16.438         146
     0     9    19          34      23.288         146
     0     9    20          43      29.452         146
     0     9    21          44      30.137         146
     0     9    22          45      30.822         146
     0     9    23          49      33.562         146
     0     9    24          50      34.247         146
     0     9    25          57      39.041         146
     0     9    26          57      39.041         146
     0     9    27          49      33.562         146
     0     9    28          57      39.041         146
     0     9    29          53      36.301         146
     0     9    30          54      36.986         146
     0     9    31          48      32.877         146
     0     9    32          32      21.918         146
     0     9    33          19      13.014         146
     0     9    34           9       6.164         146
     0     9    35           0       0.000           0
     0    10     0           0       0.000           0
     0    10     1          16      10.959         146
     0    10     2          23      15.753         146
     0    10     3          38      26.027         146
     0    10     4          42      28.767         146
     0    10     5          40      27.397         146
     0    10     6          43      29.452         146
     0    10     7          35      23.973         146
     0    10     8          42      28.767         146
     0    10     9          45      30.822         146
     0    10    10          46      31.507         146
     0    10    11          52      35.616         146
     0    10    12          43      29.452         146
     0    10    13          30      20.548         146
     0    10    14          22      15.068         146
     0    10    15          17      11.644         146
     0    10    16          19      13.014         146
     0    10    17          28      19.178         146
     0    10    18          35      23.973         146
     0    10    19          37      25.342         146
     0    10    20          43      29.452         146
     0    10    21          40      27.397         146
     0    10    22          40      27.397         146
     0    10    23          35      23.973         146
     0    10    24          29      19.863         146
     0    10    25          41      28.082         146
     0    10    26          46      31.507         146
     0    10    27          54      36.986         146
     0    10    28          58      39.726         146
     0    10    29          55      37.671         146
     0    10    30          53      36.301         146
     0    10    31          41      28.082         146
     0    10    32          31      21.233         146
     0    10    33          18      12.329         146
     0    10    34           6       4.110         146
     0    10    35           0       0.000           0
     0    11     0           0       0.000           0
     0    11     1          20      13.699         146
     0    11     2          28      19.178         146
     0    11     3          38      26.027         146
     0    11     4          51      34.932         146
     0    11     5          56      38.356         146
     0    11     6          63      43.151         146
     0    11     7          63      43.151         146
     0    11     8          62      42.466         146
     0    11     9          60      41.096         146
     0    11    10          62      42.466         146
     0    11    11          57      39.041         146
     0    11    12          55      37.671         146
     0    11    13          41      28.082         146
     0    11    14          30      20.548         146
     0    11    15          34      23.288         146
     0    11    16          36      24.658         146
     0    11    17          52      35.616         146
     0    11    18          63      43.151         146
     0    11    19          62      42.466         146
     0    11    20          53      36.301         146
     0    11    21          41      28.082         146
     0    11    22          30      20.548         146
     0    11    23          27      18.493         146
     0    11    24          31      21.233         146
     0    11    25          39      26.712         146
     0    11    26          45      30.822         146
     0    11    27          52      35.616         146
     0    11    28          60      41.096         146
     0    11    29          56      38.356         146
     0    11    30          55      37.671         146
     0    11    31          42      28.767         146
     0    11    32          28      19.178         146
     0    11    33          20      13.699         146
     0    11    34          10       6.849         146
     0    11    35           0       0.000           0
     0    12     0           0       0.000           0
     0    12     1          14       9.589         146
     0    12     2          25      17.123         146
     0    12     3          39      26.712         146
     0    12     4          48      32.877         146
     0    12     5          55      37.671         146
     0    12     6          60      41.096         146
     0    12     7          57      39.041         146
     0    12     8          56      38.356         146
     0    12     9          54      36.986         146
     0    12    10          45      30.822         146
     0    12    11          43      29.452         146
     0    12    12          41      28.082         146
     0    12    13          31      21.233         146
     0    12    14          38      26.027         146
     0    12    15          39      26.712         146
     0    12    16          48      32.877         146
     0    12    17          60      41.096         146
     0    12    18          61      41.781         146
     0    12    19          70      47.945         146
     0    12    20          68      46.575         146
     0    12    21          62      42.466         146
     0    12    22          61      41.781         146
     0    12    23          60      41.096         146
     0    12    24          57      39.041         146
     0    12    25          59      40.411         146
     0    12    26          56      38.356         146
     0    12    27          51      34.932         146
     0    12    28          55      37.671         146
     0    12    29          53      36.301         146
     0    12    30          52      35.616         146
     0    12    31          45      30.822         146
     0    12    32          31      21.233         146
     0    12    33          21      14.384         146
     0    12    34          12       8.219         146
     0    12    35           0       0.000           0
     0    13     0           0       0.000           0
     0    13     1          23      15.753         146
     0    13     2          30      20.548         146
     0    13     3          44      30.137         146
     0    13     4          50      34.247         146
     0    13     5          57      39.041         146
     0    13     6          59      40.411         146
     0    13     7          52      35.616         146
     0    13     8          44      30.137         146
     0    13     9          37      25.342         146
     0    13    10          30      20.548         146
     0    13    11          29      19.863         146
