 layer     x     y   occupancy           %    capacity
     0    11     3          51      37.500         136
     0    11     4          62      45.588         136
     0    11     5          48      35.294         136
     0    11     6          39      28.676         136
     0    11     7          49      36.029         136
     0    11     8          58      42.647         136
     0    11     9          46      33.824         136
     0    11    10          40      29.412         136
     0    11    11          34      25.000         136
     0    11    12          43      31.618         136
     0    11    13          40      29.412         136
     0    11    14          32      23.529         136
     0    11    15          15      11.029         136
     0    11    16          14      10.294         136
     0    11    17           8       5.882         136
     0    11    18           5       3.676         136
     0    12     0          17      12.500         136
     0    12     1           9       6.618         136
     0    12     2          21      15.441         136
     0    12     3          45      33.088         136
     0    12     4          55      40.441         136
     0    12     5          39      28.676         136
     0    12     6          36      26.471         136
     0    12     7          43      31.618         136
     0    12     8          46      33.824         136
     0    12     9          40      29.412         136
     0    12    10          44      32.353         136
     0    12    11          45      33.088         136
     0    12    12          51      37.500         136
     0    12    13          49      36.029         136
     0    12    14          31      22.794         136
     0    12    15          12       8.824         136
     0    12    16          12       8.824         136
     0    12    17           4       2.941         136
     0    12    18           9       6.618         136
     0    13     0          20      14.706         136
     0    13     1           9       6.618         136
     0    13     2          15      11.029         136
     0    13     3          32      23.529         136
     0    13     4          38      27.941         136
     0    13     5          27      19.853         136
     0    13     6          22      16.176         136
     0    13     7          36      26.471         136
     0    13     8          42      30.882         136
     0    13     9          42      30.882         136
     0    13    10          53      38.971         136
     0    13    11          53      38.971         136
     0    13    12          59      43.382         136
     0    13    13          52      38.235         136
     0    13    14          33      24.265         136
     0    13    15          10       7.353         136
     0    13    16           8       5.882         136
     0    13    17           4       2.941         136
     0    13    18           9       6.618         136
     0    14     0          20      14.706         136
     0    14     1           4       2.941         136
     0    14     2          11       8.088         136
     0    14     3          22      16.176         136
     0    14     4          27      19.853         136
     0    14     5          19      13.971         136
     0    14     6          29      21.324         136
     0    14     7          34      25.000         136
     0    14     8          47      34.559         136
     0    14     9          45      33.088         136
     0    14    10          54      39.706         136
     0    14    11          59      43.382         136
     0    14    12          66      48.529         136
     0    14    13          52      38.235         136
     0    14    14          38      27.941         136
     0    14    15          11       8.088         136
     0    14    16           5       3.676         136
     0    14    17           2       1.471         136
     0    14    18          14      10.294         136
     0    15     0          16      11.765         136
     0    15     1           0       0.000         136
     0    15     2           4       2.941         136
     0    15     3          10       7.353         136
     0    15     4          17      12.500         136
     0    15     5          11       8.088         136
     0    15     6          30      22.059         136
     0    15     7          35      25.735         136
     0    15     8          49      36.029         136
     0    15     9          54      39.706         136
     0    15    10          55      40.441         136
     0    15    11          59      43.382         136
     0    15    12          57      41.912         136
     0    15    13          45      33.088         136
     0    15    14          30      22.059         136
     0    15    15           6       4.412         136
     0    15    16           3       2.206         136
     0    15    17           2       1.471         136
     0    15    18          11       8.088         136
     0    16     0          11       8.088         136
     0    16     1           0       0.000         136
     0    16     2           2       1.471         136
     0    16     3           8       5.882         136
     0    16     4          12       8.824         136
     0    16     5           9       6.618         136
     0    16     6          28      20.588         136
     0    16     7          32      23.529         136
     0    16     8          53      38.971         136
     0    16     9          55      40.441         136
     0    16    10          48      35.294         136
     0    16    11          47      34.559         136
     0    16    12          49      36.029         136
     0    16    13          30      22.059         136
     0    16    14          19      13.971         136
     0    16    15           3       2.206         136
     0    16    16           2       1.471         136
     0    16    17           1       0.735         136
     0    16    18           7       5.147         136
     0    17     0           7       5.147         136
     0    17     1           0       0.000         136
     0    17     2           2       1.471         136
     0    17     3           8       5.882         136
     0    17     4          14      10.294         136
     0    17     5           9       6.618         136
     0    17     6          23      16.912         136
     0    17     7          25      18.382         136
     0    17     8          42      30.882         136
     0    17     9          41      30.147         136
     0    17    10          31      22.794         136
     0    17    11          36      26.471         136
     0    17    12          35      25.735         136
     0    17    13          22      16.176         136
     0    17    14          12       8.824         136
     0    17    15           3       2.206         136
     0    17    16           1       0.735         136
     0    17    17           0       0.000         136
     0    17    18           5       3.676         136
     0    18     0           4       2.941         136
     0    18     1           0       0.000         136
     0    18     2           1       0.735         136
     0    18     3           4       2.941         136
     0    18     4           9       6.618         136
     0    18     5           9       6.618         136
     0    18     6          14      10.294         136
     0    18     7          19      13.971         136
     0    18     8          29      21.324         136
     0    18     9          29      21.324         136
     0    18    10          20      14.706         136
     0    18    11          21      15.441         136
     0    18    12          19      13.971         136
     0    18    13          13       9.559         136
     0    18    14           4       2.941         136
     0    18    15           1       0.735         136
     0    18    16           0       0.000         136
     0    18    17           0       0.000         136
     0    18    18           0       0.000         136
     0    19     0           0       0.000           0
     0    19     1           0       0.000           0
     0    19     2           0       0.000           0
     0    19     3           0       0.000           0
     0    19     4           0       0.000           0
     0    19     5           0       0.000           0
     0    19     6           0       0.000           0
     0    19     7           0       0.000           0
     0    19     8           0       0.000           0
     0    19     9           0       0.000           0
     0    19    10           0       0.000           0
     0    19    11           0       0.000           0
     0    19    12           0       0.000           0
     0    19    13           0       0.000           0
     0    19    14           0       0.000           0
     0    19    15           0       0.000           0
     0    19    16           0       0.000           0
     0    19    17           0       0.000           0
     0    19    18           0       0.000           0
