 layer     x     y   occupancy           %    capacity
     0    10    12          25      18.382         136
     0    10    13          21      15.441         136
     0    10    14          18      13.235         136
     0    10    15          13       9.559         136
     0    10    16          14      10.294         136
     0    10    17           9       6.618         136
     0    10    18           5       3.676         136
     0    10    19           0       0.000           0
     0    11     0           0       0.000           0
     0    11     1          14      10.294         136
     0    11     2          26      19.118         136
     0    11     3          42      30.882         136
     0    11     4          50      36.765         136
     0    11     5          62      45.588         136
     0    11     6          62      45.588         136
     0    11     7          55      40.441         136
     0    11     8          48      35.294         136
     0    11     9          41      30.147         136
     0    11    10          40      29.412         136
     0    11    11          38      27.941         136
     0    11    12          39      28.676         136
     0    11    13          35      25.735         136
     0    11    14          27      19.853         136
     0    11    15          17      12.500         136
     0    11    16          10       7.353         136
     0    11    17           4       2.941         136
     0    11    18           2       1.471         136
     0    11    19           0       0.000           0
     0    12     0           0       0.000           0
     0    12     1           2       1.471         136
     0    12     2           4       2.941         136
     0    12     3          19      13.971         136
     0    12     4          29      21.324         136
     0    12     5          42      30.882         136
     0    12     6          52      38.235         136
     0    12     7          44      32.353         136
     0    12     8          43      31.618         136
     0    12     9          42      30.882         136
     0    12    10          51      37.500         136
     0    12    11          65      47.794         136
     0    12    12          66      48.529         136
     0    12    13          62      45.588         136
     0    12    14          43      31.618         136
     0    12    15          22      16.176         136
     0    12    16          13       9.559         136
     0    12    17           3       2.206         136
     0    12    18           2       1.471         136
     0    12    19           0       0.000           0
     0    13     0           0       0.000           0
     0    13     1          11       8.088         136
     0    13     2          11       8.088         136
     0    13     3          12       8.824         136
     0    13     4          16      11.765         136
     0    13     5          24      17.647         136
     0    13     6          34      25.000         136
     0    13     7          47      34.559         136
     0    13     8          55      40.441         136
     0    13     9          58      42.647         136
     0    13    10          61      44.853         136
     0    13    11          64      47.059         136
     0    13    12          61      44.853         136
     0    13    13          55      40.441         136
     0    13    14          48      35.294         136
     0    13    15          31      22.794         136
     0    13    16          21      15.441         136
     0    13    17          11       8.088         136
     0    13    18           3       2.206         136
     0    13    19           0       0.000           0
     0    14     0           0       0.000           0
     0    14     1           5       3.676         136
     0    14     2           5       3.676         136
     0    14     3           7       5.147         136
     0    14     4          11       8.088         136
     0    14     5          20      14.706         136
     0    14     6          30      22.059         136
     0    14     7          43      31.618         136
     0    14     8          52      38.235         136
     0    14     9          54      39.706         136
     0    14    10          60      44.118         136
     0    14    11          66      48.529         136
     0    14    12          68      50.000         136
     0    14    13          68      50.000         136
     0    14    14          58      42.647         136
     0    14    15          43      31.618         136
     0    14    16          25      18.382         136
     0    14    17          14      10.294         136
     0    14    18           7       5.147         136
     0    14    19           0       0.000           0
     0    15     0           0       0.000           0
     0    15     1           2       1.471         136
     0    15     2           2       1.471         136
     0    15     3           4       2.941         136
     0    15     4           8       5.882         136
     0    15     5          12       8.824         136
     0    15     6          17      12.500         136
     0    15     7          25      18.382         136
     0    15     8          31      22.794         136
     0    15     9          37      27.206         136
     0    15    10          48      35.294         136
     0    15    11          53      38.971         136
     0    15    12          55      40.441         136
     0    15    13          49      36.029         136
     0    15    14          36      26.471         136
     0    15    15          21      15.441         136
     0    15    16           9       6.618         136
     0    15    17           4       2.941         136
     0    15    18           1       0.735         136
     0    15    19           0       0.000           0
     0    16     0           0       0.000           0
     0    16     1           5       3.676         136
     0    16     2           5       3.676         136
     0    16     3           7       5.147         136
     0    16     4           7       5.147         136
     0    16     5           8       5.882         136
     0    16     6          10       7.353         136
     0    16     7          13       9.559         136
     0    16     8          21      15.441         136
     0    16     9          36      26.471         136
     0    16    10          45      33.088         136
     0    16    11          51      37.500         136
     0    16    12          50      36.765         136
     0    16    13          43      31.618         136
     0    16    14          32      23.529         136
     0    16    15          21      15.441         136
     0    16    16          13       9.559         136
     0    16    17           2       1.471         136
     0    16    18           1       0.735         136
     0    16    19           0       0.000           0
     0    17     0           0       0.000           0
     0    17     1           0       0.000         136
     0    17     2           2       1.471         136
     0    17     3           5       3.676         136
     0    17     4           8       5.882         136
     0    17     5          11       8.088         136
     0    17     6          13       9.559         136
     0    17     7          14      10.294         136
     0    17     8          21      15.441         136
     0    17     9          26      19.118         136
     0    17    10          28      20.588         136
     0    17    11          30      22.059         136
     0    17    12          29      21.324         136
     0    17    13          28      20.588         136
     0    17    14          22      16.176         136
     0    17    15          16      11.765         136
     0    17    16           7       5.147         136
     0    17    17           0       0.000         136
     0    17    18           0       0.000         136
     0    17    19           0       0.000           0
     0    18     0           0       0.000           0
     0    18     1           0       0.000         136
     0    18     2           3       2.206         136
     0    18     3           6       4.412         136
     0    18     4          10       7.353         136
     0    18     5          13       9.559         136
     0    18     6          11       8.088         136
     0    18     7          10       7.353         136
     0    18     8          10       7.353         136
     0    18     9           9       6.618         136
     0    18    10          10       7.353         136
     0    18    11           9       6.618         136
     0    18    12           7       5.147         136
     0    18    13           5       3.676         136
     0    18    14           3       2.206         136
     0    18    15           2       1.471         136
     0    18    16           0       0.000         136
     0    18    17           0       0.000         136
     0    18    18           0       0.000         136
     0    18    19           0       0.000           0
